;NUMERO DE SERIE;NUMERO DE SERIE;Reemplaza a Serie;Contador Mono Anterior (Qty);Contador Mono Actual (Qty);Contador Color Anterior (Qty);Contador Color Actual (Qty);Uso Mono (Qty);Uso Color (Qty);Minimo Mono (Qty);Minimo Color (Qty);Costo Consumo (USD);Costo Minimo Mono (USD);Costo Minimo Color (USD);Costo Total (USD);Costo Total (CLP);Categoria;Estado Informado a Adessa;Negocio;Observaciones del Tecnico Residente;Prop Adessa;Modelo;
;S8132300211;S8132300211;; 65.062 ; 66.899 ; -   ; -   ; 1.837 ; -   ; -   ; -   ; $33,01 ; $- ; $- ; $33,01 ; $22.603,88 ; Requerimiento Original ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSP5200DN;
;S9048701207;L9048701207;; 65.337 ; 65.892 ; -   ; -   ; 555 ; -   ; -   ; -   ; $9,97 ; $- ; $- ; $9,97 ; $6.829,15 ; Requerimiento Original ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSP5200S;
;W913P708185;W913P708185;; 73.807 ; 77.004 ; -   ; -   ; 3.197 ; -   ; -   ; -   ; $57,45 ; $- ; $- ; $57,45 ; $39.338,37 ; Requerimiento Original ;;Banco Falabella;;Propiedad Ricoh;Ricoh-AficioMP301;
;E174M750468;174M750468;; 59.468 ; 70.254 ; 12.676 ; 16.316 ; 10.786 ; 3.640 ; -   ; -   ; $466,28 ; $- ; $- ; $466,28 ; $319.279,49 ; Requerimiento Original_2 ;;Sodimac;MISMO CONTADOR AREMOTE QUE EL MES ANTERIOR;Propiedad Ricoh;Ricoh-AficioMPC4503;E174M750468
;S8132300219;S8132300219;; 62.695 ; 63.085 ; -   ; -   ; 390 ; -   ; -   ; -   ; $7,01 ; $- ; $- ; $7,01 ; $4.798,86 ; Requerimiento Original ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSP5200DN;
;S8141600645;S8141600645;; 83.910 ; 88.127 ; -   ; -   ; 4.217 ; -   ; -   ; -   ; $75,78 ; $- ; $- ; $75,78 ; $51.889,25 ; Requerimiento Original ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSP5200DN;
;S9049600863;L9049600863;; 87.090 ; 91.423 ; -   ; -   ; 4.333 ; -   ; -   ; -   ; $77,86 ; $- ; $- ; $77,86 ; $53.316,60 ; Requerimiento Original_2 ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9049600863
;S9048701194;L9048701194;; 68.007 ; 71.159 ; -   ; -   ; 3.152 ; -   ; -   ; -   ; $56,64 ; $- ; $- ; $56,64 ; $38.784,66 ; Requerimiento Original ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSP5200S;
;S8141500753;S8141500753;; 75.947 ; 81.063 ; -   ; -   ; 5.116 ; -   ; -   ; -   ; $91,93 ; $- ; $- ; $91,93 ; $62.951,24 ; Requerimiento Adicional ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSP5200DN;
;T313QB03447;T313QB03447;; 63.078 ; 63.594 ; -   ; -   ; 516 ; -   ; -   ; -   ; $9,27 ; $- ; $- ; $9,27 ; $6.349,27 ; Requerimiento Original ;;Banco Falabella;;Propiedad Ricoh;Ricoh-AficioSP3510DN;
;S8141500755;S8141500755;; 68.838 ; 71.573 ; -   ; -   ; 2.735 ; -   ; -   ; -   ; $49,15 ; $- ; $- ; $49,15 ; $33.653,57 ; Requerimiento Original ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSP5200DN;
;S8132300288;S8132300288;; 72.537 ; 76.195 ; -   ; -   ; 3.658 ; -   ; -   ; -   ; $65,73 ; $- ; $- ; $65,73 ; $45.010,88 ; Requerimiento Original ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSP5200DN;
;W914P605657;W914P605657;; 73.038 ; 77.135 ; -   ; -   ; 4.097 ; -   ; -   ; -   ; $73,62 ; $- ; $- ; $73,62 ; $50.412,67 ; Requerimiento Original ;;Falabella;;Propiedad Ricoh;Ricoh-AficioMP301;
;W913P707990;W913P707990;; 64.398 ; 65.703 ; -   ; -   ; 1.305 ; -   ; -   ; -   ; $23,45 ; $- ; $- ; $23,45 ; $16.057,74 ; Requerimiento Original ;;Banco Falabella;;Propiedad Ricoh;Ricoh-AficioMP301;
;E174M850608;174M850608;; 57.268 ; 60.453 ; 69.745 ; 75.155 ; 3.185 ; 5.410 ; -   ; -   ; $462,17 ; $- ; $- ; $462,17 ; $316.468,31 ; Requerimiento Original_2 ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC4503;E174M850608
;S9049400694;L9049400694;; 84.564 ; 90.631 ; -   ; -   ; 6.067 ; -   ; -   ; -   ; $109,02 ; $- ; $- ; $109,02 ; $74.653,09 ; Requerimiento Original_2 ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9049400694
;W913P707956;W913P707956;; 64.522 ; 65.682 ; -   ; -   ; 1.160 ; -   ; -   ; -   ; $20,85 ; $- ; $- ; $20,85 ; $14.273,54 ; Requerimiento Original ;;Banco Falabella;;Propiedad Ricoh;Ricoh-AficioMP301;
;W913P605839;W913P605839;; 79.901 ; 81.548 ; -   ; -   ; 1.647 ; -   ; -   ; -   ; $23,68 ; $- ; $- ; $23,68 ; $16.212,78 ; Contrato Mantención ;;Banco Falabella;;Propiedad Adessa;Ricoh-AficioMP301;
;S8132300297;S8132300297;; 66.146 ; 68.066 ; -   ; -   ; 1.920 ; -   ; -   ; -   ; $34,50 ; $- ; $- ; $34,50 ; $23.625,17 ; Requerimiento Original ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSP5200DN;
;W913P707954;W913P707954;; 63.530 ; 64.680 ; -   ; -   ; 1.150 ; -   ; -   ; -   ; $20,67 ; $- ; $- ; $20,67 ; $14.150,49 ; Requerimiento Original ;;Banco Falabella;;Propiedad Ricoh;Ricoh-AficioMP301;
;S8141501819;S8141501819;; 77.035 ; 80.042 ; -   ; -   ; 3.007 ; -   ; -   ; -   ; $54,04 ; $- ; $- ; $54,04 ; $37.000,47 ; Requerimiento Original ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSP5200DN;
;S8141601255;S8141601255;; 77.103 ; 92.975 ; -   ; -   ; 15.872 ; -   ; -   ; -   ; $285,22 ; $- ; $- ; $285,22 ; $195.301,43 ; Requerimiento Original ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSP5200DN;
;S8131301990;S8131301990;; 78.633 ; 80.388 ; -   ; -   ; 1.755 ; -   ; -   ; -   ; $25,23 ; $- ; $- ; $25,23 ; $17.275,91 ; Contrato Mantención ;;Falabella;;Propiedad Adessa;Ricoh-AficioSP5200DN;
;T313QB02764;T313QB02764;; 67.641 ; 69.575 ; -   ; -   ; 1.934 ; -   ; -   ; -   ; $34,75 ; $- ; $- ; $34,75 ; $23.797,44 ; Requerimiento Original ;;Banco Falabella;;Propiedad Ricoh;Ricoh-AficioSP3510DN;
;W913P708106;W913P708106;; 63.879 ; 65.344 ; -   ; -   ; 1.465 ; -   ; -   ; -   ; $26,33 ; $- ; $- ; $26,33 ; $18.026,50 ; Requerimiento Original ;;Banco Falabella;;Propiedad Ricoh;Ricoh-AficioMP301;
;S9048900756;L9048900756;; 74.374 ; 76.964 ; -   ; -   ; 2.590 ; -   ; -   ; -   ; $46,54 ; $- ; $- ; $46,54 ; $31.869,37 ; Requerimiento Original ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSP5200S;
;S8141601238;S8141601238;; 73.029 ; 76.511 ; -   ; -   ; 3.482 ; -   ; -   ; -   ; $62,57 ; $- ; $- ; $62,57 ; $42.845,24 ; Requerimiento Original ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSP5200DN;
;S9048501668;L9048501668;; 64.643 ; 66.800 ; -   ; -   ; 2.157 ; -   ; -   ; -   ; $38,76 ; $- ; $- ; $38,76 ; $26.541,41 ; Requerimiento Original ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSP5200S;
;S8141600725;S8141600725;; 64.560 ; 67.456 ; -   ; -   ; 2.896 ; -   ; -   ; -   ; $52,04 ; $- ; $- ; $52,04 ; $35.634,64 ; Requerimiento Original ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSP5200DN;
;S9049400893;L9049400893;; 76.558 ; 81.931 ; -   ; -   ; 5.373 ; -   ; -   ; -   ; $96,55 ; $- ; $- ; $96,55 ; $66.113,57 ; Requerimiento Original ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSP5200S;
;S8131302096;S8131302096;; 81.583 ; 83.792 ; -   ; -   ; 2.209 ; -   ; -   ; -   ; $31,76 ; $- ; $- ; $31,76 ; $21.745,00 ; Contrato Mantención ;;Falabella;;Propiedad Adessa;Ricoh-AficioSP5200DN;
;E174M750545;174M750545;; 64.033 ; 67.810 ; 45.207 ; 48.316 ; 3.777 ; 3.109 ; -   ; -   ; $300,58 ; $- ; $- ; $300,58 ; $205.820,07 ; Requerimiento Original_2 ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC4503;E174M750545
;S8141401489;S8141401489;; 66.419 ; 69.487 ; -   ; -   ; 3.068 ; -   ; -   ; -   ; $55,13 ; $- ; $- ; $55,13 ; $37.751,06 ; Requerimiento Original ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSP5200DN;
;S8141501934;S8141501934;; 67.007 ; 69.866 ; -   ; -   ; 2.859 ; -   ; -   ; -   ; $51,38 ; $- ; $- ; $51,38 ; $35.179,36 ; Requerimiento Original ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSP5200DN;
;W914P307917;W914P307917;; 66.098 ; 66.098 ; -   ; -   ; -   ; -   ; -   ; -   ; $- ; $- ; $- ; $-   ; $-   ; Requerimiento Original ;;Falabella;;Propiedad Ricoh;Ricoh-AficioMP301;
;S9048900558;L9048900558;; 112.821 ; 133.997 ; -   ; -   ; 21.176 ; -   ; -   ; -   ; $380,53 ; $- ; $- ; $380,53 ; $260.565,97 ; Requerimiento Original ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSP5200S;
;S9058601674;L9058601674;; 84.059 ; 88.522 ; -   ; -   ; 4.463 ; -   ; -   ; -   ; $80,20 ; $- ; $- ; $80,20 ; $54.916,22 ; Requerimiento Original_2 ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9058601674
;S8131301735;S8131301735;; 73.255 ; 74.065 ; -   ; -   ; 810 ; -   ; -   ; -   ; $11,64 ; $- ; $- ; $11,64 ; $7.973,50 ; Contrato Mantención ;;Falabella;;Propiedad Adessa;Ricoh-AficioSP5200DN;
;W913P605910;W913P605910;; 76.047 ; 80.534 ; -   ; -   ; 4.487 ; -   ; -   ; -   ; $80,63 ; $- ; $- ; $80,63 ; $55.211,54 ; Requerimiento Original ;;Banco Falabella;;Propiedad Ricoh;Ricoh-AficioMP301;
;W913P605963;W913P605963;; 64.012 ; 66.361 ; -   ; -   ; 2.349 ; -   ; -   ; -   ; $42,21 ; $- ; $- ; $42,21 ; $28.903,92 ; Requerimiento Original ;;Banco Falabella;;Propiedad Ricoh;Ricoh-AficioMP301;
;S9048900477;L9048900477;; 74.311 ; 78.786 ; -   ; -   ; 4.475 ; -   ; -   ; -   ; $80,42 ; $- ; $- ; $80,42 ; $55.063,88 ; Requerimiento Original ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSP5200S;
;S9049600811;L9049600811;; 81.298 ; 85.836 ; -   ; -   ; 4.538 ; -   ; -   ; -   ; $81,55 ; $- ; $- ; $81,55 ; $55.839,08 ; Requerimiento Original_2 ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9049600811
;S9058601556;L9058601556;; 76.481 ; 80.885 ; -   ; -   ; 4.404 ; -   ; -   ; -   ; $79,14 ; $- ; $- ; $79,14 ; $54.190,24 ; Requerimiento Original_2 ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9058601556
;W915P603392;W915P603392;; 148.970 ; 174.931 ; -   ; -   ; 25.961 ; -   ; -   ; -   ; $466,52 ; $- ; $- ; $466,52 ; $319.444,34 ; Requerimiento Adicional ;;Falabella;;Propiedad Ricoh;Ricoh-AficioMP301;
;S9048900487;L9048900487;; 65.957 ; 68.253 ; -   ; -   ; 2.296 ; -   ; -   ; -   ; $41,26 ; $- ; $- ; $41,26 ; $28.251,77 ; Requerimiento Original ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSP5200S;
;S8141502026;S8141502026;; 57.989 ; 57.989 ; -   ; -   ; -   ; -   ; -   ; -   ; $- ; $- ; $- ; $-   ; $-   ; Requerimiento Original ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSP5200DN;
;W913P706958;W913P706958;; 65.628 ; 67.385 ; -   ; -   ; 1.757 ; -   ; -   ; -   ; $31,57 ; $- ; $- ; $31,57 ; $21.619,49 ; Requerimiento Original ;;Banco Falabella;;Propiedad Ricoh;Ricoh-AficioMP301;
;S9048501718;L9048501718;; 71.090 ; 74.722 ; -   ; -   ; 3.632 ; -   ; -   ; -   ; $65,27 ; $- ; $- ; $65,27 ; $44.690,95 ; Requerimiento Original ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSP5200S;
;W805P600841;W805P600841;; 24.307 ; 25.275 ; 48.335 ; 53.816 ; 968 ; 5.481 ; 3.032 ; -   ; $427,65 ; $54,49 ; $- ; $482,13 ; $330.135,65 ; Requerimiento Adicional ;;Falabella;;Propiedad Ricoh;Ricoh-AficioMPC305;
;E174M850611;174M850611;; 59.802 ; 62.215 ; 31.902 ; 32.470 ; 2.413 ; 568 ; -   ; -   ; $85,88 ; $- ; $- ; $85,88 ; $58.803,01 ; Requerimiento Original_2 ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC4503;E174M850611
;W913P708047;W913P708047;; 63.664 ; 64.419 ; -   ; -   ; 755 ; -   ; -   ; -   ; $13,57 ; $- ; $- ; $13,57 ; $9.290,11 ; Requerimiento Original ;;Banco Falabella;;Propiedad Ricoh;Ricoh-AficioMP301;
;S8141401369;S8141401369;; 64.011 ; 65.718 ; -   ; -   ; 1.707 ; -   ; -   ; -   ; $30,67 ; $- ; $- ; $30,67 ; $21.004,26 ; Requerimiento Original ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSP5200DN;
;W795P104319;W795P104319;; 25.623 ; 32.045 ; 5.617 ; 7.508 ; 6.422 ; 1.891 ; -   ; -   ; $256,94 ; $- ; $- ; $256,94 ; $175.940,31 ; Requerimiento Adicional ;;Falabella;;Propiedad Ricoh;Ricoh-AficioMPC305;
;W913P708275;W913P708275;; 64.308 ; 66.216 ; -   ; -   ; 1.908 ; -   ; -   ; -   ; $34,29 ; $- ; $- ; $34,29 ; $23.477,52 ; Requerimiento Original ;;Banco Falabella;;Propiedad Ricoh;Ricoh-AficioMP301;
;S8132300258;S8132300258;; 55.742 ; 55.742 ; -   ; -   ; -   ; -   ; -   ; -   ; $- ; $- ; $- ; $-   ; $-   ; Requerimiento Original ;;Falabella;Equipo desconectado;Propiedad Ricoh;Ricoh-AficioSP5200DN;
;S9048900479;L9048900479;; 69.499 ; 71.973 ; -   ; -   ; 2.474 ; -   ; -   ; -   ; $44,46 ; $- ; $- ; $44,46 ; $30.442,02 ; Requerimiento Original ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSP5200S;
;E174M850560;174M850560;; 71.914 ; 76.141 ; 26.174 ; 27.906 ; 4.227 ; 1.732 ; -   ; -   ; $205,60 ; $- ; $- ; $205,60 ; $140.782,13 ; Requerimiento Original_2 ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC4503;E174M850560
;S9049601200;L9049601200;; 78.087 ; 79.858 ; -   ; -   ; 1.771 ; -   ; -   ; -   ; $31,82 ; $- ; $- ; $31,82 ; $21.791,76 ; Requerimiento Original_2 ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9049601200
;S8141401204;S8141401204;; 76.490 ; 94.001 ; -   ; -   ; 17.511 ; -   ; -   ; -   ; $314,67 ; $- ; $- ; $314,67 ; $215.468,96 ; Requerimiento Original ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSP5200DN;
;S8141601138;S8141601138;; 73.973 ; 77.103 ; -   ; -   ; 3.130 ; -   ; -   ; -   ; $56,25 ; $- ; $- ; $56,25 ; $38.513,95 ; Requerimiento Original ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSP5200DN;
;W913P605622;W913P605622;; 60.025 ; 60.757 ; -   ; -   ; 732 ; -   ; -   ; -   ; $13,15 ; $- ; $- ; $13,15 ; $9.007,10 ; Requerimiento Original ;;Banco Falabella;;Propiedad Ricoh;Ricoh-AficioMP301;
;T313Q501925;T313Q501925;; 71.071 ; 74.586 ; -   ; -   ; 3.515 ; -   ; -   ; -   ; $63,16 ; $- ; $- ; $63,16 ; $43.251,29 ; Requerimiento Original ;;Banco Falabella;;Propiedad Ricoh;Ricoh-AficioSP3510DN;
;S8141600517;S8141600517;; 64.368 ; 66.878 ; -   ; -   ; 2.510 ; -   ; -   ; -   ; $45,10 ; $- ; $- ; $45,10 ; $30.884,99 ; Requerimiento Original ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSP5200DN;
;T313QA01559;T313QA01559;; 65.448 ; 68.702 ; -   ; -   ; 3.254 ; -   ; -   ; -   ; $58,47 ; $- ; $- ; $58,47 ; $40.039,75 ; Requerimiento Original ;;Banco Falabella;USB;Propiedad Ricoh;Ricoh-AficioSP3510DN;
;S9049601037;L9049601037;; 86.789 ; 95.349 ; -   ; -   ; 8.560 ; -   ; -   ; -   ; $153,82 ; $- ; $- ; $153,82 ; $105.328,90 ; Requerimiento Original_2 ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9049601037
;S8141502037;S8141502037;; 70.935 ; 74.400 ; -   ; -   ; 3.465 ; -   ; -   ; -   ; $62,27 ; $- ; $- ; $62,27 ; $42.636,06 ; Requerimiento Original ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSP5200DN;
;S9048701170;L9048701170;; 66.288 ; 68.185 ; -   ; -   ; 1.897 ; -   ; -   ; -   ; $34,09 ; $- ; $- ; $34,09 ; $23.342,16 ; Requerimiento Original ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSP5200S;
;T313QB03441;T313QB03441;; 59.564 ; 60.699 ; -   ; -   ; 1.135 ; -   ; -   ; -   ; $20,40 ; $- ; $- ; $20,40 ; $13.965,92 ; Requerimiento Original ;;Banco Falabella;;Propiedad Ricoh;Ricoh-AficioSP3510DN;
;W913P708118;W913P708118;; 61.012 ; 63.333 ; -   ; -   ; 2.321 ; -   ; -   ; -   ; $41,71 ; $- ; $- ; $41,71 ; $28.559,39 ; Requerimiento Original ;;Banco Falabella;;Propiedad Ricoh;Ricoh-AficioMP301;
;W913P605813;W913P605813;; 63.762 ; 65.523 ; -   ; -   ; 1.761 ; -   ; -   ; -   ; $31,65 ; $- ; $- ; $31,65 ; $21.668,71 ; Requerimiento Original ;;Banco Falabella;;Propiedad Ricoh;Ricoh-AficioMP301;
;S8141401355;S8141401355;; 99.350 ; 115.083 ; -   ; -   ; 15.733 ; -   ; -   ; -   ; $282,72 ; $- ; $- ; $282,72 ; $193.591,07 ; Requerimiento Original ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSP5200DN;
;S8131302005;S8131302005;; 73.288 ; 74.982 ; -   ; -   ; 1.694 ; -   ; -   ; -   ; $24,35 ; $- ; $- ; $24,35 ; $16.675,43 ; Contrato Mantención ;;Falabella;;Propiedad Adessa;Ricoh-AficioSP5200DN;
;S9049600828;L9049600828;; 76.232 ; 80.160 ; -   ; -   ; 3.928 ; -   ; -   ; -   ; $70,59 ; $- ; $- ; $70,59 ; $48.333,17 ; Requerimiento Original_2 ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9049600828
;E174M850428;174M850428;; 45.024 ; 47.390 ; 86.647 ; 93.983 ; 2.366 ; 7.336 ; -   ; -   ; $591,62 ; $- ; $- ; $591,62 ; $405.103,56 ; Requerimiento Original_2 ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC4503;E174M850428
;S8141500736;S8141500736;; 70.524 ; 73.314 ; -   ; -   ; 2.790 ; -   ; -   ; -   ; $50,14 ; $- ; $- ; $50,14 ; $34.330,33 ; Requerimiento Original ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSP5200DN;
;E174M850200;174M850200;; 60.062 ; 63.043 ; 49.190 ; 52.779 ; 2.981 ; 3.589 ; -   ; -   ; $322,21 ; $- ; $- ; $322,21 ; $220.626,80 ; Requerimiento Original_2 ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC4503;E174M850200
;S9048600406;L9048600406;; 65.312 ; 67.403 ; -   ; -   ; 2.091 ; -   ; -   ; -   ; $37,58 ; $- ; $- ; $37,58 ; $25.729,29 ; Requerimiento Original ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSP5200S;
;S8141601332;S8141601332;; 68.477 ; 71.904 ; -   ; -   ; 3.427 ; -   ; -   ; -   ; $61,58 ; $- ; $- ; $61,58 ; $42.168,47 ; Requerimiento Original ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSP5200DN;
;S8141600174;S8141600174;; 61.197 ; 61.681 ; -   ; -   ; 484 ; -   ; -   ; -   ; $8,70 ; $- ; $- ; $8,70 ; $5.955,51 ; Requerimiento Original ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSP5200DN;
;S8141400921;S8141400921;; 54.655 ; 54.655 ; -   ; -   ; -   ; -   ; -   ; -   ; $- ; $- ; $- ; $-   ; $-   ; Requerimiento Original ;IP;Sodimac;NO ESTAN EN AREMOTE;Propiedad Ricoh;Ricoh-AficioSP5200DN;S8141400921
;S9048701160;L9048701160;; 60.356 ; 64.713 ; -   ; -   ; 4.357 ; -   ; -   ; -   ; $78,30 ; $- ; $- ; $78,30 ; $53.611,92 ; Requerimiento Original ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSP5200S;
;S9049600858;L9049600858;; 73.332 ; 85.531 ; -   ; -   ; 12.199 ; -   ; -   ; -   ; $219,22 ; $- ; $- ; $219,22 ; $150.105,98 ; Requerimiento Original_2 ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9049600858
;W803P900605;W803P900605;; 53.039 ; 54.289 ; 79.919 ; 82.778 ; 1.250 ; 2.859 ; -   ; -   ; $236,46 ; $- ; $- ; $236,46 ; $161.912,70 ; Requerimiento Original ;;Falabella;;Propiedad Ricoh;Ricoh-AficioMPC305;
;S8131301922;S8131301922;; 73.458 ; 75.235 ; -   ; -   ; 1.777 ; -   ; -   ; -   ; $25,55 ; $- ; $- ; $25,55 ; $17.492,47 ; Contrato Mantención ;;Falabella;desconectada tienda Mango Alto las condes;Propiedad Adessa;Ricoh-AficioSP5200DN;
;S8141500729;S8141500729;; 80.446 ; 88.316 ; -   ; -   ; 7.870 ; -   ; -   ; -   ; $141,42 ; $- ; $- ; $141,42 ; $96.838,60 ; Requerimiento Original ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSP5200DN;
;W913P406539;W913P406539;; 63.403 ; 65.341 ; -   ; -   ; 1.938 ; -   ; -   ; -   ; $34,83 ; $- ; $- ; $34,83 ; $23.846,66 ; Requerimiento Original ;;Banco Falabella;;Propiedad Ricoh;Ricoh-AficioMP301;
;S9049400714;L9049400714;; 78.923 ; 82.852 ; -   ; -   ; 3.929 ; -   ; -   ; -   ; $70,60 ; $- ; $- ; $70,60 ; $48.345,47 ; Requerimiento Original_2 ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9049400714
;S8141601341;S8141601341;; 71.226 ; 74.072 ; -   ; -   ; 2.846 ; -   ; -   ; -   ; $51,14 ; $- ; $- ; $51,14 ; $35.019,40 ; Requerimiento Original ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSP5200DN;
;S9049600929;L9049600929;; 77.461 ; 81.438 ; -   ; -   ; 3.977 ; -   ; -   ; -   ; $71,47 ; $- ; $- ; $71,47 ; $48.936,10 ; Requerimiento Original_2 ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9049600929
;W914P605625;W914P605625;; 62.466 ; 65.149 ; -   ; -   ; 2.683 ; -   ; -   ; -   ; $48,21 ; $- ; $- ; $48,21 ; $33.013,72 ; Requerimiento Original ;;Banco Falabella;;Propiedad Ricoh;Ricoh-AficioMP301;
;S9049601083;L9049601083;; 74.962 ; 78.291 ; -   ; -   ; 3.329 ; -   ; -   ; -   ; $59,82 ; $- ; $- ; $59,82 ; $40.962,61 ; Requerimiento Original_2 ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9049601083
;S9049600821;L9049600821;; 64.377 ; 66.405 ; -   ; -   ; 2.028 ; -   ; -   ; -   ; $36,44 ; $- ; $- ; $36,44 ; $24.954,09 ; Requerimiento Original_2 ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9049600821
;W805P100173;W805P100173;; 58.644 ; 61.754 ; 24.410 ; 26.372 ; 3.110 ; 1.962 ; -   ; -   ; $202,74 ; $- ; $- ; $202,74 ; $138.825,83 ; Requerimiento Original_2 ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC305;W805P100173
;S9058601659;L9058601659;; 100.575 ; 108.803 ; -   ; -   ; 8.228 ; -   ; -   ; -   ; $147,86 ; $- ; $- ; $147,86 ; $101.243,71 ; Requerimiento Original_2 ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9058601659
;S9048600386;L9048600386;; 63.562 ; 65.319 ; -   ; -   ; 1.757 ; -   ; -   ; -   ; $31,57 ; $- ; $- ; $31,57 ; $21.619,49 ; Requerimiento Original ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSP5200S;
;S8132300111;S8132300111;; 53.619 ; 53.619 ; -   ; -   ; -   ; -   ; -   ; -   ; $- ; $- ; $- ; $-   ; $-   ; Requerimiento Original ;;Falabella;Equipo desconectado;Propiedad Ricoh;Ricoh-AficioSP5200DN;
;W913P708076;W913P708076;; 60.245 ; 60.462 ; -   ; -   ; 217 ; -   ; -   ; -   ; $3,90 ; $- ; $- ; $3,90 ; $2.670,14 ; Requerimiento Original ;;Banco Falabella;;Propiedad Ricoh;Ricoh-AficioMP301;
;W913P707805;W913P707805;; 60.288 ; 61.216 ; -   ; -   ; 928 ; -   ; -   ; -   ; $16,68 ; $- ; $- ; $16,68 ; $11.418,83 ; Requerimiento Original ;;Banco Falabella;;Propiedad Ricoh;Ricoh-AficioMP301;
;S8131302090;S8131302090;; 75.399 ; 76.713 ; -   ; -   ; 1.314 ; -   ; -   ; -   ; $18,89 ; $- ; $- ; $18,89 ; $12.934,78 ; Contrato Mantención ;;Falabella;;Propiedad Adessa;Ricoh-AficioSP5200DN;
;S9049400895;L9049400895;; 66.096 ; 68.232 ; -   ; -   ; 2.136 ; -   ; -   ; -   ; $38,38 ; $- ; $- ; $38,38 ; $26.283,01 ; Requerimiento Original ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSP5200S;
;T313QB03442;T313QB03442;; 70.253 ; 72.517 ; -   ; -   ; 2.264 ; -   ; -   ; -   ; $40,68 ; $- ; $- ; $40,68 ; $27.858,02 ; Requerimiento Original ;;Banco Falabella;;Propiedad Ricoh;Ricoh-AficioSP3510DN;
;S9049501387;L9049501387;; 72.885 ; 76.441 ; -   ; -   ; 3.556 ; -   ; -   ; -   ; $63,90 ; $- ; $- ; $63,90 ; $43.755,79 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9049501387
