;NUMERO DE SERIE;NUMERO DE SERIE;Reemplaza a Serie;Contador Mono Anterior (Qty);Contador Mono Actual (Qty);Contador Color Anterior (Qty);Contador Color Actual (Qty);Uso Mono (Qty);Uso Color (Qty);Minimo Mono (Qty);Minimo Color (Qty);Costo Consumo (USD);Costo Minimo Mono (USD);Costo Minimo Color (USD);Costo Total (USD);Costo Total (CLP);Categoria;Estado Informado a Adessa;Negocio;Observaciones del Tecnico Residente;Prop Adessa;Modelo;
;E174MB50172;174MB50172;; 16.293 ; 16.622 ; 20.805 ; 21.080 ; 329 ; 275 ; 5.671 ; 2.225 ; $26,50 ; $101,91 ; $166,54 ; $294,95 ; $201.960,64 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC4503;E174MB50172
;W795P104299;W795P104299;; 442 ; 477 ; 550 ; 573 ; 35 ; 23 ; 3.965 ; 977 ; $2,35 ; $71,25 ; $73,13 ; $146,73 ; $100.471,90 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC305;W795P104299
;W795P104297;W795P104297;; 11.579 ; 12.160 ; 1.753 ; 2.079 ; 581 ; 326 ; 3.419 ; 674 ; $34,84 ; $61,44 ; $50,45 ; $146,73 ; $100.471,90 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC305;W795P104297
;W804PA00740;W804PA00740;; 244 ; 247 ; 1.722 ; 1.837 ; 3 ; 115 ; 3.997 ; 885 ; $8,66 ; $71,83 ; $66,24 ; $146,73 ; $100.471,90 ; Requerimiento Adicional ;;Falabella;;Propiedad Ricoh;Ricoh-AficioMPC305;
;W805P100739;W805P100739;; 417 ; 605 ; 4.621 ; 6.005 ; 188 ; 1.384 ; 3.812 ; -   ; $106,97 ; $68,50 ; $- ; $175,47 ; $120.152,97 ; Requerimiento Adicional ;;Falabella;;Propiedad Ricoh;Ricoh-AficioMPC305;
;W804P700389;W804P700389;; 7.536 ; 8.149 ; 10.863 ; 11.499 ; 613 ; 636 ; 3.387 ; 364 ; $58,62 ; $60,86 ; $27,25 ; $146,73 ; $100.471,90 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC305;W804P700389
;E175M950112;175M950112;; 4.701 ; 5.274 ; 9.570 ; 12.623 ; 573 ; 3.053 ; 5.427 ; -   ; $238,81 ; $97,52 ; $- ; $336,34 ; $230.303,43 ; Requerimiento Adicional ;;Falabella;;Propiedad Ricoh;Ricoh-AficioMPC4503;
;W804PA00594;W804PA00594;; 1.101 ; 1.151 ; 4.524 ; 4.747 ; 50 ; 223 ; 3.950 ; 777 ; $17,59 ; $70,98 ; $58,16 ; $146,73 ; $100.471,90 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC305;W804PA00594
;G445PA00397;G445PA00397;; 5.371 ; 6.257 ; 15.804 ; 18.712 ; 886 ; 2.908 ; 3.114 ; -   ; $233,59 ; $55,96 ; $- ; $289,54 ; $198.262,22 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-MPC306Z;G445PA00397
;G445PA00443;G445PA00443;; 3.070 ; 3.292 ; 2.075 ; 2.199 ; 222 ; 124 ; 3.778 ; 876 ; $13,27 ; $67,89 ; $65,57 ; $146,73 ; $100.471,90 ; Requerimiento Adicional ;;Falabella;;Propiedad Ricoh;Ricoh-MPC306Z;
